Date,Open,High,Low,Close,Adj Close,Volume
4/7/20,2738.6499,2756.88989,2657.66992,2659.40991,2659.40991,7040720000
4/8/20,2685,2760.75,2663.30005,2749.97998,2749.97998,5856370000
4/9/20,2776.98999,2818.57007,2762.36011,2789.82007,2789.82007,7880140000
4/13/20,2782.45996,2782.45996,2721.16992,2761.62988,2761.62988,5274310000
4/14/20,2805.1001,2851.8501,2805.1001,2846.06006,2846.06006,5567400000
4/15/20,2795.63989,2801.87988,2761.54004,2783.36011,2783.36011,5203390000
4/16/20,2799.34009,2806.51001,2764.32007,2799.55005,2799.55005,5179990000
4/17/20,2842.42993,2879.21997,2830.87988,2874.56006,2874.56006,5792140000
4/20/20,2845.62012,2868.97998,2820.42993,2823.15991,2823.15991,5220160000
4/21/20,2784.81006,2785.54004,2727.1001,2736.56006,2736.56006,5075830000
4/22/20,2787.88989,2815.1001,2775.94995,2799.31006,2799.31006,5049660000
4/23/20,2810.41992,2844.8999,2794.26001,2797.80005,2797.80005,5756520000
4/24/20,2812.63989,2842.70996,2791.76001,2836.73999,2836.73999,5374480000
